Number of Images,FID Score
500,118.46094512939453
1000,82.80461883544922
1500,67.56864166259766
2000,57.68364715576172
2500,52.13150405883789
3000,47.990909576416016
3500,45.471946716308594
4000,43.588409423828125
4500,41.94430923461914
5000,40.70309829711914
5500,39.441593170166016
6000,38.48014450073242
6500,37.65633773803711
7000,36.9788703918457
7500,36.471473693847656
8000,35.899322509765625
8500,35.45269775390625
9000,35.18784713745117
9500,34.891048431396484
10000,34.682621002197266
