Number of Images,FID Score
500,116.74205017089844
1000,83.33710479736328
1500,67.57764434814453
2000,59.43587875366211
2500,53.41664505004883
3000,49.60850524902344
3500,46.71745300292969
4000,44.454498291015625
4500,43.081905364990234
5000,41.83805465698242
5500,40.968204498291016
6000,39.98112487792969
6500,39.49849319458008
7000,38.97616195678711
7500,38.45051193237305
8000,37.87303924560547
8500,37.266014099121094
9000,36.81511688232422
9500,36.546051025390625
10000,36.24847412109375
